iso_code,country,year,coal_prod_change_pct,coal_prod_change_twh,gas_prod_change_pct,gas_prod_change_twh,oil_prod_change_pct,oil_prod_change_twh,energy_cons_change_pct,energy_cons_change_twh,biofuel_share_elec,biofuel_elec_per_capita,biofuel_cons_change_pct,biofuel_share_energy,biofuel_cons_change_twh,biofuel_consumption,biofuel_cons_per_capita,carbon_intensity_elec,coal_share_elec,coal_cons_change_pct,coal_share_energy,coal_cons_change_twh,coal_consumption,coal_elec_per_capita,coal_cons_per_capita,coal_production,coal_prod_per_capita,electricity_generation,biofuel_electricity,coal_electricity,fossil_electricity,gas_electricity,hydro_electricity,nuclear_electricity,oil_electricity,other_renewable_electricity,other_renewable_exc_biofuel_electricity,renewables_electricity,solar_electricity,wind_electricity,energy_per_gdp,energy_per_capita,fossil_cons_change_pct,fossil_share_energy,fossil_cons_change_twh,fossil_fuel_consumption,fossil_energy_per_capita,fossil_cons_per_capita,fossil_share_elec,gas_share_elec,gas_cons_change_pct,gas_share_energy,gas_cons_change_twh,gas_consumption,gas_elec_per_capita,gas_energy_per_capita,gas_production,gas_prod_per_capita,hydro_share_elec,hydro_cons_change_pct,hydro_share_energy,hydro_cons_change_twh,hydro_consumption,hydro_elec_per_capita,hydro_energy_per_capita,low_carbon_share_elec,low_carbon_electricity,low_carbon_elec_per_capita,low_carbon_cons_change_pct,low_carbon_share_energy,low_carbon_cons_change_twh,low_carbon_consumption,low_carbon_energy_per_capita,nuclear_share_elec,nuclear_cons_change_pct,nuclear_share_energy,nuclear_cons_change_twh,nuclear_consumption,nuclear_elec_per_capita,nuclear_energy_per_capita,oil_share_elec,oil_cons_change_pct,oil_share_energy,oil_cons_change_twh,oil_consumption,oil_elec_per_capita,oil_energy_per_capita,oil_production,oil_prod_per_capita,other_renewables_elec_per_capita,other_renewables_share_elec,other_renewables_cons_change_pct,other_renewables_share_energy,other_renewables_cons_change_twh,other_renewable_consumption,other_renewables_energy_per_capita,per_capita_electricity,population,primary_energy_consumption,renewables_elec_per_capita,renewables_share_elec,renewables_cons_change_pct,renewables_share_energy,renewables_cons_change_twh,renewables_consumption,renewables_energy_per_capita,solar_share_elec,solar_cons_change_pct,solar_share_energy,solar_cons_change_twh,solar_consumption,solar_elec_per_capita,solar_energy_per_capita,gdp_per_capita,wind_share_elec,wind_cons_change_pct,wind_share_energy,wind_cons_change_twh,wind_consumption,wind_elec_per_capita,wind_energy_per_capita
ALB,Albania,2015,,0,9.375,0.031,-1.683,-0.233,5.835,1.857,0,0,,,,,,,0,,,,,0,,0,0,5.837,0,0,0,0,5.836,0,0,0,0,5.837,0.001,0,1.014,11651.654,,,,,,0,0,0,,,,,0,,0.362,125.286,99.983,,,,,2018.696,,100,5.837,2019.042,,,,,,0,,,,,0,,0,,,,,0,,13.61,4707.681,0,0,,,,,,2019.042,2891000,33.685,2019.042,100,,,,,,0.017,,,,,0.346,,3953.611,0,,,,,0,
ALB,Albania,2016,,0,28.57,0.103,13.14,1.788,17.103,5.761,0,0,,,,,,,0,,,,,0,,0,0,7.706,0,0,0,0,7.704,0,0,0,0,7.706,0.002,0,1.148,13668.121,,,,,,0,0,0,,,,,0,,0.466,161.36,99.974,,,,,2669.501,,100,7.706,2670.194,,,,,,0,,,,,0,,0,,,,,0,,15.398,5335.516,0,0,,,,,,2670.194,2886000,39.446,2670.194,100,,,,,,0.026,,,,,0.693,,4124.405,0,,,,,0,
ALB,Albania,2017,,,,,,,,,0,0,,,,,,,0,,,,,0,,,,4.481,0,0,0,0,4.48,0,0,0,0,4.481,0.001,0,,,,,,,,0,0,0,,,,,0,,,,99.978,,,,,1553.311,,100,4.481,1553.658,,,,,,0,,,,,0,,0,,,,,0,,,,0,0,,,,,,1553.658,2884000,,1553.658,100,,,,,,0.022,,,,,0.347,,4525.887,0,,,,,0,
ALB,Albania,2018,,,,,,,,,0,0,,,,,,,0,,,,,0,,,,8.467,0,0,0,0,8.466,0,0,0,0,8.467,0.001,0,,,,,,,,0,0,0,,,,,0,,,,99.988,,,,,2936.691,,100,8.467,2937.038,,,,,,0,,,,,0,,0,,,,,0,,,,0,0,,,,,,2937.038,2883000,,2937.038,100,,,,,,0.012,,,,,0.347,,5257.714,0,,,,,0,
ALB,Albania,2019,,,,,,,,,0,0,,,,,,,0,,,,,0,,,,5.176,0,0,0,0,5.154,0,0,0,0,5.176,0.022,0,,,,,,,,0,0,0,,,,,0,,,,99.575,,,,,1788.941,,100,5.176,1796.578,,,,,,0,,,,,0,,0,,,,,0,,,,0,0,,,,,,1796.578,2881000,,1796.578,100,,,,,,0.425,,,,,7.636,,5345.058,0,,,,,0,
ARM,Armenia,2015,,0,,0,,0,-8.449,-3.738,0,0,,,,,,,0,,,,,0,,0,0,7.392,0,0,2.633,2.633,2.184,2.571,0,0,0,2.188,0.001,0.003,1.45,13841.587,,,,,,899.843,35.619,35.619,,,,,899.843,,0,0,29.546,,,,,746.411,,64.381,4.759,1626.452,,,,,,34.781,,,,,878.674,,0,,,,,0,,0,0,0,0,,,,,,2526.295,2926000,40.5,747.779,29.6,,,,,,0.014,,,,,0.342,,3529.026,0.041,,,,,1.025,
ARM,Armenia,2016,,0,,0,,0,3.891,1.576,0,0,,,,,,,0,,,,,0,,0,0,6.951,0,0,2.426,2.426,2.327,2.195,0,0,0,2.33,0.001,0.002,1.503,14331.248,,,,,,826.342,34.903,34.903,,,,,826.342,,0,0,33.477,,,,,792.575,,65.097,4.525,1541.213,,,,,,31.578,,,,,747.616,,0,,,,,0,,0,0,0,0,,,,,,2367.554,2936000,42.077,793.597,33.52,,,,,,0.014,,,,,0.341,,3524,0.029,,,,,0.681,
ARM,Armenia,2017,,,,,,,,,0,0,,,,,,,0,,,,,0,,,,7.362,0,0,2.7,2.7,2.246,2.411,0,0,0,2.251,0.003,0.002,,,,,,,,916.699,36.672,36.672,,,,,916.699,,,,30.509,,,,,762.649,,63.328,4.662,1583.022,,,,,,32.751,,,,,818.676,,0,,,,,0,,,,0,0,,,,,,2499.722,2945000,,764.346,30.577,,,,,,0.041,,,,,1.019,,3868.906,0.027,,,,,0.679,
ARM,Armenia,2018,,,,,,,,,0,0,,,,,,,0,,,,,0,,,,7.387,0,0,3.173,3.173,2.295,1.898,0,0,0,2.316,0.019,0.002,,,,,,,,1075.014,42.958,42.958,,,,,1075.014,,,,31.065,,,,,777.378,,57.042,4.214,1427.446,,,,,,25.693,,,,,642.954,,0,,,,,0,,,,0,0,,,,,,2502.459,2952000,,784.492,31.349,,,,,,0.257,,,,,6.436,,4195.963,0.027,,,,,0.678,
ARM,Armenia,2019,,,,,,,,,0,0,,,,,,,0,,,,,0,,,,7.256,0,0,2.864,2.864,2.347,2.029,0,0,0,2.363,0.013,0.003,,,,,,,,968.283,39.471,39.471,,,,,968.283,,,,32.348,,,,,793.54,,60.529,4.392,1484.885,,,,,,27.961,,,,,685.936,,0,,,,,0,,,,0,0,,,,,,2453.168,2958000,,798.949,32.568,,,,,,0.179,,,,,4.395,,4596.861,0.041,,,,,1.014,
