iso_code,country,year,coal_prod_change_pct,coal_prod_change_twh,gas_prod_change_pct,gas_prod_change_twh,oil_prod_change_pct,oil_prod_change_twh,energy_cons_change_pct,energy_cons_change_twh,biofuel_share_elec,biofuel_elec_per_capita,biofuel_cons_change_pct,biofuel_share_energy,biofuel_cons_change_twh,biofuel_consumption,biofuel_cons_per_capita,carbon_intensity_elec,coal_share_elec,coal_cons_change_pct,coal_share_energy,coal_cons_change_twh,coal_consumption,coal_elec_per_capita,coal_cons_per_capita,coal_production,coal_prod_per_capita,electricity_generation,biofuel_electricity,coal_electricity,fossil_electricity,gas_electricity,hydro_electricity,nuclear_electricity,oil_electricity,other_renewable_electricity,other_renewable_exc_biofuel_electricity,renewables_electricity,solar_electricity,wind_electricity,energy_per_gdp,energy_per_capita,fossil_cons_change_pct,fossil_share_energy,fossil_cons_change_twh,fossil_fuel_consumption,fossil_energy_per_capita,fossil_cons_per_capita,fossil_share_elec,gas_share_elec,gas_cons_change_pct,gas_share_energy,gas_cons_change_twh,gas_consumption,gas_elec_per_capita,gas_energy_per_capita,gas_production,gas_prod_per_capita,hydro_share_elec,hydro_cons_change_pct,hydro_share_energy,hydro_cons_change_twh,hydro_consumption,hydro_elec_per_capita,hydro_energy_per_capita,low_carbon_share_elec,low_carbon_electricity,low_carbon_elec_per_capita,low_carbon_cons_change_pct,low_carbon_share_energy,low_carbon_cons_change_twh,low_carbon_consumption,low_carbon_energy_per_capita,nuclear_share_elec,nuclear_cons_change_pct,nuclear_share_energy,nuclear_cons_change_twh,nuclear_consumption,nuclear_elec_per_capita,nuclear_energy_per_capita,oil_share_elec,oil_cons_change_pct,oil_share_energy,oil_cons_change_twh,oil_consumption,oil_elec_per_capita,oil_energy_per_capita,oil_production,oil_prod_per_capita,other_renewables_elec_per_capita,other_renewables_share_elec,other_renewables_cons_change_pct,other_renewables_share_energy,other_renewables_cons_change_twh,other_renewable_consumption,other_renewables_energy_per_capita,per_capita_electricity,population,primary_energy_consumption,renewables_elec_per_capita,renewables_share_elec,renewables_cons_change_pct,renewables_share_energy,renewables_cons_change_twh,renewables_consumption,renewables_energy_per_capita,solar_share_elec,solar_cons_change_pct,solar_share_energy,solar_cons_change_twh,solar_consumption,solar_elec_per_capita,solar_energy_per_capita,gdp,wind_share_elec,wind_cons_change_pct,wind_share_energy,wind_cons_change_twh,wind_consumption,wind_elec_per_capita,wind_energy_per_capita,latitude,longtitude
ALB,Albania,2010,0,0,-67.062,-0.211,103.493,3.723,19.929,6.458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027,9.284,7.493,0,0,0.001,0,7.491,0,0.001,0,0,7.492,0,0,1.393,13182.737,0,0,0,0,0,0.319,0.013,0,0,0,0,0,0,0,0.103,35.104,99.981,0,0,0,0,2541.157,0,99.987,7.492,2541.326,0,0,0,0,0,0,0,0,0,0,0,0,0.013,0,0,0,0,0.319,0,7.32,2483.045,0,0,0,0,0,0,0,2541.645,2948000,38.863,2541.326,99.987,0,0,0,0,0,0.007,0,0,0,0,0.17,0,27897407488,0,0,0,0,0,0,0,41,20
ALB,Albania,2011,-50.054,-0.014,0,0,43.077,3.153,-26.304,-10.223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014,4.667,4.147,0,0,0.055,0,4.091,0,0.055,0,0,4.091,0.001,0,1.007,9778.128,0,0,0,0,0,18.935,1.337,0,0,0,0,0,0,0,0.103,35.332,98.643,0,0,0,0,1396.613,0,98.663,4.091,1396.886,0,0,0,0,0,0,0,0,0,0,0,0,1.337,0,0,0,0,18.935,0,10.473,3575.72,0,0,0,0,0,0,0,1415.821,2929000,28.64,1396.886,98.663,0,0,0,0,0,0.019,0,0,0,0,0.273,0,28451999744,0,0,0,0,0,0,0,41,20
ALB,Albania,2012,0,0,70,0.072,8.812,0.923,1.825,0.523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014,4.691,4.679,0,0,0,0,4.678,0,0,0,0,4.679,0.001,0,0.937,10007.814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.176,60.373,99.981,0,0,0,0,1605.268,0,100,4.679,1605.577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.396,3910.826,0,0,0,0,0,0,0,1605.577,2914000,29.163,1605.577,100,0,0,0,0,0,0.019,0,0,0,0,0.309,0,31114752000,0,0,0,0,0,0,0,41,20
ALB,Albania,2013,-39.914,-0.005,11.765,0.021,0.747,0.085,26.957,7.861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008,2.828,6.89,0,0,0,0,6.889,0,0,0,0,6.89,0.001,0,1.21,12749.331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.197,67.708,99.985,0,0,0,0,2372.386,0,100,6.89,2372.731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.481,3953.588,0,0,0,0,0,0,0,2372.731,2904000,37.024,2372.731,100,0,0,0,0,0,0.015,0,0,0,0,0.344,0,30586345472,0,0,0,0,0,0,0,41,20
ALB,Albania,2014,-100,-0.008,68.421,0.135,20.57,2.362,-14.035,-5.196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.678,0,0,0,0,4.677,0,0,0,0,4.678,0.001,0,0.983,10990.277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.331,114.35,99.979,0,0,0,0,1614.903,0,100,4.678,1615.249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.843,4780.019,0,0,0,0,0,0,0,1615.249,2896000,31.828,1615.249,100,0,0,0,0,0,0.021,0,0,0,0,0.345,0,32387278848,0,0,0,0,0,0,0,41,20
ALB,Albania,2015,0,0,9.375,0.031,-1.683,-0.233,5.835,1.857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.837,0,0,0,0,5.836,0,0,0,0,5.837,0.001,0,1.014,11651.654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.362,125.286,99.983,0,0,0,0,2018.696,0,100,5.837,2019.042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.61,4707.681,0,0,0,0,0,0,0,2019.042,2891000,33.685,2019.042,100,0,0,0,0,0,0.017,0,0,0,0,0.346,0,33224144896,0,0,0,0,0,0,0,41,20
ALB,Albania,2016,0,0,28.57,0.103,13.14,1.788,17.103,5.761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.706,0,0,0,0,7.704,0,0,0,0,7.706,0.002,0,1.148,13668.121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.466,161.36,99.974,0,0,0,0,2669.501,0,100,7.706,2670.194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.398,5335.516,0,0,0,0,0,0,0,2670.194,2886000,39.446,2670.194,100,0,0,0,0,0,0.026,0,0,0,0,0.693,0,34351540224,0,0,0,0,0,0,0,41,20
ALB,Albania,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.481,0,0,0,0,4.48,0,0,0,0,4.481,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.978,0,0,0,0,1553.311,0,100,4.481,1553.658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1553.658,2884000,0,1553.658,100,0,0,0,0,0,0.022,0,0,0,0,0.347,0,0,0,0,0,0,0,0,0,41,20
ALB,Albania,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.467,0,0,0,0,8.466,0,0,0,0,8.467,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.988,0,0,0,0,2936.691,0,100,8.467,2937.038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2937.038,2883000,0,2937.038,100,0,0,0,0,0,0.012,0,0,0,0,0.347,0,0,0,0,0,0,0,0,0,41,20
ALB,Albania,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.176,0,0,0,0,5.154,0,0,0,0,5.176,0.022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.575,0,0,0,0,1788.941,0,100,5.176,1796.578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1796.578,2881000,0,1796.578,100,0,0,0,0,0,0.425,0,0,0,0,7.636,0,0,0,0,0,0,0,0,0,41,20
